time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
378574790445.0,,,nan,,,
378574790701,10,0.0,2.0,0.0,70,0
378574790957,10,0.0,,0.0,70,0
378574791213,10,0.0,,0.0,70,0
378574791469,10,0.0,,0.1328125,70,0
378574791725,10,0.0,,0.2890625,70,0
378574791981,10,0.0,,0.17578125,70,0
378574792237,10,0.0,,0.0859375,70,0
378574792493,10,0.0,,0.1484375,70,0
378574792749,10,0.0,,0.19140625,70,0
378574793005,14,36785.599999999999,,0.09375,118,0
378574793261,26,26772.48,,0.04296875,118,0
378574793517,36,26772.48,,0.046875,114,0
378574793773,40,26772.48,,0.046875,111,0
378574794029,40,26772.48,,0.15625,110,0
378574794285,39,26772.48,,0.15234375,110,0
378574794541,36,21035.52,,0.09375,110,0
378574794797,29,21035.52,,0.171875,104,0
378574795053,23,21035.52,,0.06640625,104,0
378574795309,21,21035.52,,0.09765625,104,0
378574795565,21,15418.08,,0.0703125,104,0
378574795821,22,16414.079999999998,,0.0546875,106,0
378574796077,22,16414.079999999998,,0.08984375,106,0
378574796333,23,16414.079999999998,,0.13671875,106,0
378574796589,23,17224.16,,0.12109375,106,0
378574796845,22,17224.16,,0.0625,105,0
378574797101,22,17224.16,,0.0234375,105,0
378574797357,22,17224.16,,0.01953125,104,0
378574797613,22,16812.48,,0.05078125,103,0
378574797869,21,16812.48,,0.0703125,103,0
378574798125,21,16812.48,,0.09765625,101,0
378574798381,21,16480.48,,0.01953125,101,0
378574798637,20,16480.48,,0.015625,100,0
378574798893,20,16480.48,,0.015625,99,0
378574799149,20,16480.48,,0.015625,99,0
378574799405,19,15975.839999999998,,0.015625,99,0
378574799661,18,15975.839999999998,,0.01953125,97,0
378574799917,17,15975.839999999998,,0.01953125,96,0
378574800173,17,16520.32,,0.015625,93,0
378574800429,18,16520.32,,0.015625,88,0
378574800685,19,16520.32,,0.015625,87,0
378574800941,19,16520.32,,0.015625,85,0
378574801197,19,16520.32,,0.01953125,85,0
378574801453,19,16905.439999999999,,0.03515625,85,0
378574801709,18,16905.439999999999,,0.06640625,85,0
378574801965,18,16905.439999999999,,0.03125,83,0
378574802221,17,16440.639999999999,,0.0703125,82,0
378574802477,17,16440.639999999999,,0.03515625,80,0
378574802733,17,16440.639999999999,,0.0390625,79,0
378574802989,17,16440.639999999999,,0.01953125,79,0
378574803245,17,15803.199999999999,,0.02734375,80,0
378574803501,16,15803.199999999999,,0.05078125,81,0
378574803757,16,17091.360000000001,,0.10546875,81,0
378574804013,17,17091.360000000001,,0.0625,81,0
378574804269,17,17091.360000000001,,0.09375,82,0
378574804525,18,17091.360000000001,,0.02734375,84,0
378574804781,17,15696.959999999999,,0.02734375,85,0
378574805037,17,15696.959999999999,,0.015625,85,0
378574805293,16,15696.959999999999,,0.02734375,86,0
378574805549,16,17529.599999999999,,0.07421875,87,0
378574805805,17,17529.599999999999,,0.01953125,89,0
378574806061,18,17529.599999999999,,0.015625,91,0
378574806317,18,17529.599999999999,,0.015625,91,0
378574806573,18,15856.32,,0.0,91,0
378574806829,17,15856.32,,0.015625,91,0
378574807085,17,15856.32,,0.015625,90,0
378574807341,17,15856.32,,0.015625,89,0
378574807597,17,15856.32,,0.015625,89,0
378574807853,17,15856.32,,0.015625,88,0
378574808109,17,15232.16,,0.015625,87,0
