time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
378989950666.0,,,nan,,,
378989950922,10,0.0,2.0,0.0,70,0
378989951178,10,0.0,,0.0,70,0
378989951434,10,0.0,,0.0,70,0
378989951690,10,0.0,,0.31640625,70,0
378989951946,10,0.0,,0.12890625,70,0
378989952202,10,0.0,,0.16015625,70,0
378989952458,10,0.0,,0.0546875,70,0
378989952714,14,12855.039999999999,,0.08984375,70,0
378989952970,25,12855.039999999999,,0.078125,140,0
378989953226,34,12855.039999999999,,0.06640625,136,0
378989953482,36,12855.039999999999,,0.04296875,134,0
378989953738,36,12855.039999999999,,0.0234375,132,0
378989953994,35,12855.039999999999,,0.0859375,122,0
378989954250,34,12855.039999999999,,0.078125,122,0
378989954506,31,3824.6399999999999,,0.015625,121,0
378989954762,22,3824.6399999999999,,0.02734375,120,0
378989955018,15,3824.6399999999999,,0.03515625,119,0
378989955274,13,4687.8400000000001,,0.01953125,119,0
378989955530,14,4687.8400000000001,,0.03125,118,0
378989955786,15,4687.8400000000001,,0.046875,118,0
378989956042,16,5683.8400000000001,,0.015625,118,0
378989956298,17,5683.8400000000001,,0.015625,118,0
378989956554,17,5829.9200000000001,,0.015625,118,0
378989956810,17,5829.9200000000001,,0.015625,118,0
378989957066,18,5829.9200000000001,,0.015625,118,0
378989957322,18,6122.0799999999999,,0.0,118,0
378989957578,18,6122.0799999999999,,0.0,118,0
378989957834,18,6122.0799999999999,,0.0,118,0
378989958090,18,6175.1999999999998,,0.015625,117,0
378989958346,18,6175.1999999999998,,0.015625,117,0
378989958602,18,5829.9200000000001,,0.015625,116,0
378989958858,18,5829.9200000000001,,0.0,116,0
378989959114,19,7423.5199999999995,,0.015625,115,0
378989959370,21,7423.5199999999995,,0.015625,114,0
378989959626,22,7423.5199999999995,,0.015625,114,0
378989959882,23,7370.3999999999996,,0.015625,113,0
378989960138,23,7370.3999999999996,,0.0,113,0
378989960394,23,7370.3999999999996,,0.0,113,0
378989960650,23,6918.8800000000001,,0.015625,113,0
378989960906,23,6918.8800000000001,,0.0,113,0
378989961162,23,7250.8799999999992,,0.0,113,0
378989961418,24,7250.8799999999992,,0.015625,113,0
378989961674,24,7250.8799999999992,,0.0,113,0
378989961930,24,7051.6799999999994,,0.015625,114,0
378989962186,24,7051.6799999999994,,0.0,114,0
378989962442,24,7476.6399999999994,,0.0390625,114,0
378989962698,24,7476.6399999999994,,0.0234375,114,0
378989962954,24,7476.6399999999994,,0.015625,114,0
378989963210,24,7476.6399999999994,,0.015625,114,0
378989963466,24,7171.1999999999998,,0.015625,113,0
378989963722,23,7171.1999999999998,,0.015625,113,0
378989963978,22,7171.1999999999998,,0.0,113,0
378989964234,22,7171.1999999999998,,0.0,113,0
378989964490,22,7171.1999999999998,,0.0859375,112,0
378989964746,21,7197.7599999999993,,0.05859375,112,0
378989965002,20,7197.7599999999993,,0.01953125,112,0
378989965258,19,7197.7599999999993,,0.015625,112,0
378989965514,19,7197.7599999999993,,0.015625,112,0
378989965770,19,7038.3999999999996,,0.015625,112,0
378989966026,18,7038.3999999999996,,0.0,111,0
378989966282,18,7237.5999999999995,,0.015625,111,0
378989966538,18,7237.5999999999995,,0.015625,110,0
378989966794,18,7237.5999999999995,,0.015625,109,0
378989967050,18,7237.5999999999995,,0.015625,108,0
378989967306,18,6679.8399999999992,,0.0,107,0
378989967562,18,6679.8399999999992,,0.0,106,0
378989967818,17,6679.8399999999992,,0.015625,105,0
378989968074,17,6679.8399999999992,,0.015625,104,0
378989968330,17,6679.8399999999992,,0.015625,104,0
378989968586,17,6679.8399999999992,,0.0,104,0
378989968842,17,6679.8399999999992,,0.015625,104,0
378989969098,17,6679.8399999999992,,0.015625,105,0
378989969354,17,6679.8399999999992,,0.015625,105,0
378989969610,17,6679.8399999999992,,0.01953125,106,0
378989969866,17,6679.8399999999992,,0.015625,106,0
378989970122,17,6679.8399999999992,,0.015625,107,0
378989970378,16,6679.8399999999992,,0.015625,108,0
378989970634,14,6679.8399999999992,,0.015625,108,0
378989970890,11,5033.1199999999999,,0.015625,108,0
378989971146,11,5033.1199999999999,,0.0625,109,0
378989971402,12,5033.1199999999999,,0.01953125,109,0
378989971658,12,4621.4399999999996,,0.015625,110,0
378989971914,12,4621.4399999999996,,0.015625,110,0
378989972170,12,4621.4399999999996,,0.01953125,110,0
378989972426,12,4701.1199999999999,,0.03515625,110,0
378989972682,12,4701.1199999999999,,0.0625,110,0
378989972938,12,4701.1199999999999,,0.05078125,110,0
378989973194,12,4701.1199999999999,,0.04296875,110,0
378989973450,12,4701.1199999999999,,0.0,111,0
378989973706,12,4701.1199999999999,,0.015625,112,0
378989973962,12,5497.9200000000001,,0.015625,112,0
378989974218,12,5497.9200000000001,,0.015625,112,0
378989974474,12,5497.9200000000001,,0.015625,112,0
378989974730,12,5564.3199999999997,,0.015625,111,0
378989974986,12,5564.3199999999997,,0.015625,110,0
378989975242,12,5564.3199999999997,,0.015625,109,0
378989975498,12,5564.3199999999997,,0.015625,107,0
378989975754,12,5564.3199999999997,,0.015625,105,0
378989976010,12,5564.3199999999997,,0.01953125,104,0
378989976266,12,5564.3199999999997,,0.015625,103,0
378989976522,12,5564.3199999999997,,0.015625,102,0
378989976778,12,5564.3199999999997,,0.01953125,102,0
378989977034,12,5564.3199999999997,,0.01953125,101,0
378989977290,11,4820.6399999999994,,0.01953125,100,0
378989977546,11,4820.6399999999994,,0.015625,101,0
378989977802,10,4820.6399999999994,,0.01953125,101,0
378989978058,10,4820.6399999999994,,0.015625,102,0
378989978314,10,4820.6399999999994,,0.01953125,102,0
378989978570,10,4594.8800000000001,,0.015625,102,0
378989978826,10,4594.8800000000001,,0.0,102,0
378989979082,10,4594.8800000000001,,0.015625,103,0
378989979338,9,4594.8800000000001,,0.01953125,103,0
378989979594,9,4594.8800000000001,,0.015625,104,0
378989979850,10,5033.1199999999999,,0.0,104,0
378989980106,11,5033.1199999999999,,0.015625,105,0
378989980362,12,5033.1199999999999,,0.015625,105,0
378989980618,12,5099.5199999999995,,0.015625,106,0
378989980874,12,5099.5199999999995,,0.01953125,106,0
378989981130,12,5099.5199999999995,,0.015625,105,0
378989981386,12,5099.5199999999995,,0.015625,105,0
378989981642,12,5099.5199999999995,,0.0,104,0
378989981898,12,5099.5199999999995,,0.015625,104,0
378989982154,12,5099.5199999999995,,0.015625,104,0
378989982410,12,4355.8400000000001,,0.015625,103,0
378989982666,11,4355.8400000000001,,0.01953125,103,0
378989982922,11,4355.8400000000001,,0.015625,103,0
378989983178,11,4355.8400000000001,,0.01953125,103,0
378989983434,11,4355.8400000000001,,0.015625,104,0
378989983690,11,3160.6399999999999,,0.015625,105,0
378989983946,11,3160.6399999999999,,0.015625,105,0
378989984202,11,3160.6399999999999,,0.015625,105,0
378989984458,11,3160.6399999999999,,0.0,105,0
378989984714,11,2961.4400000000001,,0.01953125,106,0
378989984970,11,2961.4400000000001,,0.015625,106,0
378989985226,11,2961.4400000000001,,0.0,106,0
378989985482,10,2961.4400000000001,,0.0,106,0
378989985738,10,2961.4400000000001,,0.015625,105,0
378989985994,10,2961.4400000000001,,0.015625,104,0
378989986250,11,2961.4400000000001,,0.01953125,105,0
378989986506,11,2961.4400000000001,,0.01953125,106,0
378989986762,11,3027.8399999999997,,0.02734375,106,0
378989987018,11,3027.8399999999997,,0.0390625,107,0
378989987274,11,3027.8399999999997,,0.01953125,108,0
378989987530,12,3027.8399999999997,,0.01953125,109,0
378989987786,12,3638.7199999999998,,0.015625,110,0
378989988042,12,3638.7199999999998,,0.015625,111,0
378989988298,11,3638.7199999999998,,0.015625,112,0
378989988554,11,3638.7199999999998,,0.015625,112,0
378989988810,11,3638.7199999999998,,0.015625,112,0
378989989066,12,3638.7199999999998,,0.01953125,112,0
378989989322,12,3638.7199999999998,,0.0,112,0
378989989578,12,3638.7199999999998,,0.0,111,0
378989989834,11,4130.0799999999999,,0.0,110,0
378989990090,11,4130.0799999999999,,0.0,110,0
378989990346,11,4130.0799999999999,,0.0,108,0
378989990602,11,4130.0799999999999,,0.015625,107,0
378989990858,11,4130.0799999999999,,0.0,107,0
378989991114,11,4130.0799999999999,,0.0,106,0
378989991370,11,3997.2799999999997,,0.015625,105,0
378989991626,10,3997.2799999999997,,0.0,104,0
378989991882,10,3997.2799999999997,,0.0,104,0
378989992138,10,3997.2799999999997,,0.0,103,0
378989992394,10,4143.3599999999997,,0.015625,103,0
378989992650,10,4143.3599999999997,,0.015625,104,0
378989992906,11,4143.3599999999997,,0.0234375,104,0
378989993162,11,4581.5999999999995,,0.07421875,105,0
378989993418,11,4581.5999999999995,,0.1640625,106,0
378989993674,11,4581.5999999999995,,0.05078125,107,0
378989993930,11,4581.5999999999995,,0.015625,108,0
378989994186,11,4555.04,,0.015625,109,0
378989994442,11,4555.04,,0.015625,109,0
378989994698,11,4555.04,,0.01953125,109,0
378989994954,12,4555.04,,0.015625,109,0
378989995210,12,4555.04,,0.015625,109,0
378989995466,12,4555.04,,0.03515625,109,0
378989995722,11,4555.04,,0.05859375,109,0
378989995978,11,4355.8400000000001,,0.07421875,109,0
378989996234,11,4355.8400000000001,,0.0234375,109,0
378989996490,11,4355.8400000000001,,0.0234375,108,0
378989996746,12,4063.6799999999998,,0.01953125,108,0
378989997002,12,4063.6799999999998,,0.015625,107,0
378989997258,12,4063.6799999999998,,0.015625,107,0
378989997514,12,4063.6799999999998,,0.015625,107,0
378989997770,12,3917.5999999999999,,0.01953125,107,0
378989998026,13,3917.5999999999999,,0.015625,107,0
378989998282,14,4156.6399999999994,,0.015625,106,0
378989998538,15,4156.6399999999994,,0.01953125,106,0
378989998794,16,4156.6399999999994,,0.01953125,106,0
378989999050,16,4156.6399999999994,,0.0234375,107,0
378989999306,16,4156.6399999999994,,0.015625,109,0
378989999562,15,4807.3599999999997,,0.0234375,109,0
378989999818,15,4807.3599999999997,,0.01953125,110,0
378990000074,15,4807.3599999999997,,0.01953125,111,0
378990000330,15,4807.3599999999997,,0.015625,111,0
378990000586,15,4329.2799999999997,,0.015625,111,0
378990000842,15,4329.2799999999997,,0.015625,111,0
378990001098,14,4329.2799999999997,,0.078125,110,0
378990001354,14,4329.2799999999997,,0.1328125,108,0
378990001610,14,4329.2799999999997,,0.15625,107,0
378990001866,14,4329.2799999999997,,0.12890625,106,0
378990002122,14,4329.2799999999997,,0.1484375,106,0
378990002378,14,4329.2799999999997,,0.046875,106,0
378990002634,14,5418.2399999999998,,0.078125,106,0
378990002890,13,5418.2399999999998,,0.0546875,105,0
378990003146,12,5418.2399999999998,,0.06640625,106,0
378990003402,12,5418.2399999999998,,0.0234375,106,0
378990003658,12,5418.2399999999998,,0.015625,107,0
378990003914,12,5418.2399999999998,,0.015625,108,0
378990004170,12,5418.2399999999998,,0.0,108,0
378990004426,12,5418.2399999999998,,0.015625,108,0
378990004682,12,5418.2399999999998,,0.0,107,0
378990004938,12,5418.2399999999998,,0.015625,107,0
378990005194,12,5418.2399999999998,,0.015625,107,0
378990005450,12,5418.2399999999998,,0.03515625,107,0
378990005706,12,4887.04,,0.06640625,108,0
378990005962,11,4887.04,,0.09765625,108,0
378990006218,11,4887.04,,0.140625,109,0
378990006474,11,4887.04,,0.08203125,109,0
378990006730,11,4887.04,,0.14453125,110,0
378990006986,11,4887.04,,0.15625,110,0
378990007242,11,5351.8400000000001,,0.16015625,109,0
378990007498,10,5351.8400000000001,,0.1640625,108,0
378990007754,10,5351.8400000000001,,0.3984375,106,0
378990008010,10,5351.8400000000001,,0.3828125,105,0
378990008266,10,5351.8400000000001,,0.328125,104,0
378990008522,10,5351.8400000000001,,0.50390625,102,55
378990008778,10,5644.0,,0.44140625,102,107
378990009034,10,5644.0,,0.28515625,101,140
378990009290,10,5644.0,,0.25390625,100,145
378990009546,9,5657.2799999999997,,0.19140625,100,130
378990009802,9,5657.2799999999997,,0.0703125,100,110
378990010058,9,5657.2799999999997,,0.015625,101,94
378990010314,9,5657.2799999999997,,0.015625,102,71
378990010570,9,5657.2799999999997,,0.0,102,32
378990010826,9,5657.2799999999997,,0.015625,103,0
378990011082,9,5657.2799999999997,,0.015625,104,0
378990011338,9,5657.2799999999997,,0.0,105,0
378990011594,9,5657.2799999999997,,0.0234375,105,0
378990011850,9,5657.2799999999997,,0.109375,106,0
378990012106,9,5657.2799999999997,,0.0625,108,0
378990012362,9,5657.2799999999997,,0.1953125,109,0
378990012618,9,5657.2799999999997,,0.1171875,110,0
378990012874,9,5657.2799999999997,,0.06640625,111,0
378990013130,9,5657.2799999999997,,0.09375,112,0
378990013386,9,4833.9200000000001,,0.0234375,113,0
378990013642,8,4833.9200000000001,,0.04296875,114,0
378990013898,8,4833.9200000000001,,0.07421875,114,0
378990014154,8,4833.9200000000001,,0.05078125,115,0
378990014410,8,4833.9200000000001,,0.2578125,115,0
378990014666,8,5126.0799999999999,,0.3359375,115,0
378990014922,8,5126.0799999999999,,0.41796875,116,0
378990015178,8,5126.0799999999999,,0.37890625,116,0
378990015434,7,5126.0799999999999,,0.359375,116,74
378990015690,7,5126.0799999999999,,0.41796875,116,120
378990015946,7,5126.0799999999999,,0.3984375,116,135
378990016202,8,5126.0799999999999,,0.38671875,115,134
378990016458,8,4555.04,,0.375,114,130
378990016714,8,4555.04,,0.41796875,114,129
378990016970,8,4555.04,,0.26953125,112,127
378990017226,8,5524.4799999999996,,0.1328125,112,126
378990017482,9,5524.4799999999996,,0.05078125,111,117
378990017738,9,5524.4799999999996,,0.046875,110,83
378990017994,9,5431.5199999999995,,0.046875,109,32
378990018250,10,5431.5199999999995,,0.0859375,109,0
378990018506,10,5431.5199999999995,,0.1796875,109,0
378990018762,10,5431.5199999999995,,0.2421875,109,0
378990019018,10,5179.1999999999998,,0.328125,109,44
378990019274,10,5179.1999999999998,,0.390625,110,50
378990019530,10,5179.1999999999998,,0.4140625,111,62
378990019786,10,5497.9200000000001,,0.37890625,112,93
378990020042,10,5497.9200000000001,,0.3515625,112,120
378990020298,11,7543.04,,0.37890625,114,129
378990020554,14,7543.04,,0.33984375,115,127
378990020810,16,8127.3599999999997,,0.35546875,115,124
378990021066,18,9933.4399999999987,,0.34765625,116,123
378990021322,21,9933.4399999999987,,0.34765625,117,125
378990021578,23,10876.32,,0.3125,118,128
378990021834,24,10876.32,,0.35546875,118,130
378990022090,24,11593.439999999999,,0.2734375,118,132
378990022346,25,11593.439999999999,,0.203125,119,131
378990022602,26,12961.279999999999,,0.19921875,119,120
378990022858,28,12961.279999999999,,0.23828125,119,104
378990023114,30,12576.16,,0.17578125,119,77
378990023370,32,12576.16,,0.15625,118,35
378990023626,32,12828.48,,0.21875,118,0
378990023882,32,12828.48,,0.2421875,118,0
378990024138,32,13426.08,,0.12890625,118,38
378990024394,31,13426.08,,0.0859375,118,0
378990024650,30,12828.48,,0.109375,118,0
378990024906,30,12828.48,,0.1171875,118,0
378990025162,30,13040.959999999999,,0.19140625,119,0
378990025418,30,13040.959999999999,,0.421875,119,0
378990025674,30,13040.959999999999,,0.1875,120,0
378990025930,30,12841.76,,0.20703125,120,0
378990026186,29,12841.76,,0.15625,121,0
378990026442,29,12841.76,,0.19140625,121,0
378990026698,28,17370.239999999998,,0.07421875,121,0
378990026954,28,17370.239999999998,,0.10546875,122,0
378990027210,27,17370.239999999998,,0.09375,122,0
378990027466,26,16825.759999999998,,0.10546875,122,0
378990027722,25,16825.759999999998,,0.08203125,122,0
378990027978,24,16307.839999999998,,0.0546875,122,0
378990028234,24,16307.839999999998,,0.07421875,122,0
378990028490,24,15590.719999999999,,0.11328125,121,0
378990028746,24,15590.719999999999,,0.0390625,121,0
378990029002,25,16028.959999999999,,0.0625,121,0
378990029258,24,16028.959999999999,,0.046875,121,0
378990029514,24,16028.959999999999,,0.0234375,121,0
378990029770,24,16028.959999999999,,0.01953125,120,0
378990030026,24,16028.959999999999,,0.0,120,0
378990030282,24,16028.959999999999,,0.015625,120,0
378990030538,24,16028.959999999999,,0.015625,119,0
378990030794,24,16028.959999999999,,0.015625,119,0
378990031050,24,16028.959999999999,,0.015625,119,0
378990031306,23,16028.959999999999,,0.01953125,118,0
378990031562,19,16028.959999999999,,0.0234375,117,0
378990031818,16,16028.959999999999,,0.10546875,117,0
378990032074,15,10079.519999999999,,0.07421875,116,0
378990032330,15,10079.519999999999,,0.04296875,115,0
378990032586,16,10039.68,,0.0390625,115,0
378990032842,16,10039.68,,0.02734375,115,0
378990033098,16,10039.68,,0.03125,115,0
378990033354,16,7516.4799999999996,,0.02734375,115,0
378990033610,16,7516.4799999999996,,0.01953125,115,0
378990033866,16,7516.4799999999996,,0.02734375,116,0
378990034122,16,7304.0,,0.0703125,116,0
378990034378,16,7304.0,,0.046875,117,0
378990034634,16,7304.0,,0.0234375,118,0
378990034890,16,7304.0,,0.03125,118,0
378990035146,16,6879.04,,0.03515625,119,0
378990035402,16,6879.04,,0.02734375,119,0
378990035658,15,6879.04,,0.06640625,119,0
378990035914,15,6932.1599999999999,,0.06640625,120,0
378990036170,15,6932.1599999999999,,0.08984375,119,0
378990036426,15,6932.1599999999999,,0.109375,119,0
378990036682,14,6932.1599999999999,,0.08203125,119,0
378990036938,14,6932.1599999999999,,0.1171875,119,0
378990037194,14,6055.6799999999994,,0.0859375,118,0
378990037450,14,6055.6799999999994,,0.06640625,118,0
378990037706,13,6055.6799999999994,,0.1328125,117,0
378990037962,14,8499.1999999999989,,0.09375,117,0
378990038218,16,8499.1999999999989,,0.0625,116,0
378990038474,18,8499.1999999999989,,0.0234375,115,0
378990038730,18,8499.1999999999989,,0.02734375,115,0
378990038986,18,8499.1999999999989,,0.0,113,0
378990039242,18,8499.1999999999989,,0.0,113,0
378990039498,18,8499.1999999999989,,0.015625,112,0
378990039754,18,8499.1999999999989,,0.015625,111,0
378990040010,18,8499.1999999999989,,0.015625,110,0
378990040266,18,8499.1999999999989,,0.0234375,110,0
378990040522,18,8499.1999999999989,,0.015625,109,0
378990040778,17,6454.0799999999999,,0.0,108,0
378990041034,15,6454.0799999999999,,0.01953125,108,0
378990041290,13,6029.1199999999999,,0.05859375,107,0
378990041546,13,6029.1199999999999,,0.09375,106,0
378990041802,13,6029.1199999999999,,0.03125,105,0
378990042058,13,5551.04,,0.0546875,105,0
378990042314,13,5551.04,,0.0390625,104,0
378990042570,14,5551.04,,0.0546875,103,0
378990042826,14,5590.8800000000001,,0.0390625,102,0
378990043082,14,5590.8800000000001,,0.07421875,102,0
378990043338,14,5338.5599999999995,,0.12890625,102,0
378990043594,14,5338.5599999999995,,0.16796875,102,0
378990043850,15,5458.0799999999999,,0.05078125,102,0
378990044106,15,5458.0799999999999,,0.03515625,102,0
378990044362,16,5683.8400000000001,,0.078125,103,0
378990044618,16,5683.8400000000001,,0.09375,103,0
378990044874,18,7795.3599999999997,,0.07421875,104,0
378990045130,22,7795.3599999999997,,0.046875,105,0
378990045386,26,7795.3599999999997,,0.02734375,105,0
378990045642,27,7795.3599999999997,,0.015625,106,0
378990045898,26,7662.5599999999995,,0.0234375,105,0
378990046154,24,7662.5599999999995,,0.02734375,106,0
378990046410,23,7662.5599999999995,,0.046875,106,0
378990046666,22,7662.5599999999995,,0.01953125,106,0
378990046922,23,7662.5599999999995,,0.0,105,0
378990047178,22,7410.2399999999998,,0.015625,104,0
378990047434,22,7410.2399999999998,,0.015625,104,0
378990047690,21,7410.2399999999998,,0.0,103,0
378990047946,21,6879.04,,0.0,103,0
378990048202,21,6879.04,,0.015625,102,0
378990048458,21,6879.04,,0.0,102,0
