Time,Value
11/14/2016 5:33:00 AM,106
11/14/2016 5:33:05 AM,110
11/14/2016 5:33:10 AM,114
11/14/2016 5:33:15 AM,116
11/14/2016 5:33:20 AM,117
11/14/2016 5:33:25 AM,118
11/14/2016 5:34:05 AM,113
11/14/2016 5:34:15 AM,111
11/14/2016 5:34:20 AM,112
11/14/2016 5:34:25 AM,106
11/14/2016 5:34:40 AM,106
11/14/2016 5:34:55 AM,106
11/14/2016 5:35:10 AM,106
11/14/2016 5:35:15 AM,106
11/14/2016 5:35:25 AM,106
11/14/2016 5:35:40 AM,106
11/14/2016 5:35:55 AM,106
11/14/2016 5:36:10 AM,106
11/14/2016 5:36:25 AM,106
11/14/2016 5:36:40 AM,106
11/14/2016 5:36:55 AM,106
11/14/2016 5:37:40 AM,106
11/14/2016 5:37:55 AM,106
11/14/2016 5:38:40 AM,106
11/14/2016 5:38:50 AM,70
11/14/2016 5:39:00 AM,111
11/14/2016 5:39:15 AM,111
11/14/2016 5:39:20 AM,111
11/14/2016 5:40:10 AM,70
11/14/2016 5:40:25 AM,70
11/14/2016 5:40:40 AM,70
11/14/2016 5:40:55 AM,70
11/14/2016 5:42:05 AM,89
11/14/2016 5:42:15 AM,85
11/14/2016 5:42:20 AM,82
11/14/2016 5:43:00 AM,74
11/14/2016 5:43:15 AM,74
11/14/2016 5:43:20 AM,75
11/14/2016 5:43:35 AM,74
11/14/2016 5:43:40 AM,74
11/14/2016 5:43:55 AM,76
11/14/2016 5:44:00 AM,79
11/14/2016 5:44:05 AM,76
11/14/2016 5:44:10 AM,75
11/14/2016 5:44:15 AM,71
11/14/2016 5:44:30 AM,72
11/14/2016 5:44:40 AM,73
11/14/2016 5:44:50 AM,67
11/14/2016 5:44:55 AM,66
11/14/2016 5:45:00 AM,67
11/14/2016 5:45:10 AM,69
11/14/2016 5:45:15 AM,70
11/14/2016 5:45:20 AM,71
11/14/2016 5:45:30 AM,70
11/14/2016 5:45:35 AM,71
11/14/2016 5:45:40 AM,72
11/14/2016 5:45:50 AM,75
11/14/2016 5:45:55 AM,77
11/14/2016 5:46:00 AM,78
11/14/2016 5:46:05 AM,80
11/14/2016 5:46:10 AM,83
11/14/2016 5:46:15 AM,86
11/14/2016 5:46:20 AM,86
11/14/2016 5:46:25 AM,82
11/14/2016 5:46:40 AM,86
11/14/2016 5:46:45 AM,87
11/14/2016 5:46:50 AM,88
11/14/2016 5:46:55 AM,87
11/14/2016 5:47:00 AM,86
11/14/2016 5:47:05 AM,89
11/14/2016 5:47:15 AM,87
11/14/2016 5:47:20 AM,84
11/14/2016 5:47:25 AM,79
11/14/2016 5:47:30 AM,74
11/14/2016 5:47:35 AM,73
11/14/2016 5:47:50 AM,72
11/14/2016 5:48:05 AM,72
11/14/2016 5:48:15 AM,72
11/14/2016 5:48:20 AM,73
11/14/2016 5:48:25 AM,74
11/14/2016 5:48:30 AM,76
11/14/2016 5:48:35 AM,79
11/14/2016 5:48:40 AM,80
11/14/2016 5:48:45 AM,81
11/14/2016 5:49:00 AM,75
11/14/2016 5:49:10 AM,76
11/14/2016 5:49:15 AM,78
11/14/2016 5:49:20 AM,79
11/14/2016 5:49:25 AM,82
11/14/2016 5:49:30 AM,83
11/14/2016 5:49:35 AM,82
11/14/2016 5:49:40 AM,80
11/14/2016 5:49:45 AM,79
11/14/2016 5:50:00 AM,79
11/14/2016 5:50:15 AM,80
11/14/2016 5:50:20 AM,81
11/14/2016 5:50:35 AM,81
11/14/2016 5:50:40 AM,80
11/14/2016 5:50:55 AM,79
11/14/2016 5:51:05 AM,82
11/14/2016 5:51:10 AM,83
11/14/2016 5:51:20 AM,81
11/14/2016 5:51:25 AM,77
11/14/2016 5:51:30 AM,76
11/14/2016 5:51:35 AM,75
11/14/2016 5:51:40 AM,74
