Time,Value
11/14/2016 8:03:55 PM,65
11/14/2016 8:04:05 PM,67
11/14/2016 8:04:10 PM,67
11/14/2016 8:04:25 PM,67
11/14/2016 8:04:40 PM,67
11/14/2016 8:04:55 PM,67
11/14/2016 8:05:10 PM,67
11/14/2016 8:05:25 PM,67
11/14/2016 8:05:40 PM,67
11/14/2016 8:05:55 PM,67
11/14/2016 8:06:10 PM,67
11/14/2016 8:06:25 PM,67
11/14/2016 8:06:40 PM,67
11/14/2016 8:06:55 PM,67
11/14/2016 8:07:10 PM,67
11/14/2016 8:07:25 PM,67
11/14/2016 8:07:40 PM,67
11/14/2016 8:07:55 PM,67
11/14/2016 8:08:10 PM,67
11/14/2016 8:08:25 PM,67
11/14/2016 8:08:40 PM,67
11/14/2016 8:08:55 PM,67
11/14/2016 8:09:10 PM,67
11/14/2016 8:09:25 PM,67
11/14/2016 8:09:40 PM,67
11/14/2016 8:09:55 PM,67
11/14/2016 8:10:10 PM,67
11/14/2016 8:10:25 PM,67
11/14/2016 8:10:40 PM,67
11/14/2016 8:12:35 PM,70
11/14/2016 8:12:50 PM,70
11/14/2016 8:13:05 PM,70
11/14/2016 8:13:20 PM,70
11/14/2016 8:13:35 PM,70
11/14/2016 8:13:50 PM,70
11/14/2016 8:14:05 PM,70
11/14/2016 8:14:20 PM,70
11/14/2016 8:14:35 PM,70
11/14/2016 8:14:50 PM,70
11/14/2016 8:15:05 PM,70
11/14/2016 8:15:20 PM,70
11/14/2016 8:15:35 PM,70
11/14/2016 8:15:50 PM,70
11/14/2016 8:16:05 PM,70
11/14/2016 8:16:20 PM,70
11/14/2016 8:16:35 PM,70
11/14/2016 8:16:50 PM,70
11/14/2016 8:17:05 PM,70
11/14/2016 8:17:20 PM,70
11/14/2016 8:17:35 PM,70
11/14/2016 8:17:50 PM,70
11/14/2016 8:18:05 PM,70
11/14/2016 8:18:20 PM,70
11/14/2016 8:18:30 PM,70
11/14/2016 8:18:45 PM,70
11/14/2016 8:19:00 PM,70
11/14/2016 8:19:15 PM,70
11/14/2016 8:19:30 PM,70
11/14/2016 8:19:45 PM,70
11/14/2016 8:20:00 PM,70
11/14/2016 8:20:15 PM,70
11/14/2016 8:20:30 PM,70
11/14/2016 8:20:45 PM,70
11/14/2016 8:21:00 PM,70
11/14/2016 8:21:15 PM,70
11/14/2016 8:21:30 PM,70
11/14/2016 8:21:45 PM,70
11/14/2016 8:22:00 PM,70
11/14/2016 8:22:15 PM,70
11/14/2016 8:24:00 PM,70
11/14/2016 8:24:15 PM,70
11/14/2016 8:24:30 PM,70
11/14/2016 8:24:45 PM,70
11/14/2016 8:25:00 PM,70
11/14/2016 8:25:10 PM,70
11/14/2016 8:25:25 PM,70
11/14/2016 8:25:40 PM,70
11/14/2016 8:25:55 PM,70
11/14/2016 8:26:10 PM,70
11/14/2016 8:26:25 PM,70
11/14/2016 8:26:40 PM,70
11/14/2016 8:26:55 PM,70
11/14/2016 8:27:10 PM,70
11/14/2016 8:27:25 PM,70
11/14/2016 8:27:40 PM,70
11/14/2016 8:27:55 PM,70
11/14/2016 8:28:10 PM,70
11/14/2016 8:28:25 PM,70
11/14/2016 8:28:40 PM,70
11/14/2016 8:28:55 PM,70
11/14/2016 8:29:10 PM,70
11/14/2016 8:29:25 PM,70
11/14/2016 8:29:40 PM,70
11/14/2016 8:29:55 PM,70
11/14/2016 8:30:10 PM,70
11/14/2016 8:30:25 PM,70
11/14/2016 8:30:40 PM,70
11/14/2016 8:30:55 PM,70
11/14/2016 8:31:10 PM,70
11/14/2016 8:31:25 PM,70
11/14/2016 8:42:00 PM,70
11/14/2016 8:42:15 PM,70
11/14/2016 8:42:30 PM,70
11/14/2016 8:42:45 PM,70
11/14/2016 8:43:00 PM,70
11/14/2016 8:43:15 PM,70
11/14/2016 8:43:30 PM,70
11/14/2016 8:43:45 PM,70
11/14/2016 8:44:00 PM,70
11/14/2016 8:44:15 PM,70
11/14/2016 8:44:30 PM,70
11/14/2016 8:44:45 PM,70
11/14/2016 8:45:00 PM,70
11/14/2016 8:45:15 PM,70
11/14/2016 8:45:30 PM,70
11/14/2016 8:45:45 PM,70
11/14/2016 8:46:00 PM,70
11/14/2016 8:46:15 PM,70
11/14/2016 8:46:30 PM,70
11/14/2016 8:46:45 PM,70
11/14/2016 8:47:00 PM,70
11/14/2016 8:47:15 PM,70
11/14/2016 9:15:00 PM,70
11/14/2016 9:15:15 PM,70
11/14/2016 9:15:30 PM,70
11/14/2016 9:15:45 PM,70
11/14/2016 9:16:00 PM,70
11/14/2016 9:16:15 PM,70
11/14/2016 9:16:30 PM,70
11/14/2016 9:16:45 PM,70
11/14/2016 9:17:00 PM,70
11/14/2016 9:17:15 PM,70
11/14/2016 9:17:30 PM,70
11/14/2016 9:17:45 PM,70
11/14/2016 9:18:00 PM,70
11/14/2016 9:18:15 PM,70
11/14/2016 9:18:30 PM,70
11/14/2016 9:18:45 PM,70
11/14/2016 9:19:00 PM,70
11/14/2016 9:19:15 PM,70
11/14/2016 9:19:30 PM,70
11/14/2016 9:19:45 PM,70
11/14/2016 9:20:00 PM,70
11/14/2016 9:20:15 PM,70
11/14/2016 9:26:05 PM,127
11/14/2016 9:26:20 PM,127
11/14/2016 9:26:35 PM,127
11/14/2016 9:26:50 PM,127
11/14/2016 9:27:05 PM,127
11/14/2016 9:27:20 PM,127
11/14/2016 9:27:35 PM,127
11/14/2016 9:27:50 PM,127
11/14/2016 9:27:55 PM,125
11/14/2016 9:28:00 PM,117
11/14/2016 9:28:05 PM,115
11/14/2016 9:28:10 PM,106
11/14/2016 9:28:20 PM,109
11/14/2016 9:28:30 PM,104
11/14/2016 9:28:35 PM,99
11/14/2016 9:28:40 PM,96
11/14/2016 9:28:45 PM,98
11/14/2016 9:28:50 PM,99
11/14/2016 9:28:55 PM,101
11/14/2016 9:29:00 PM,101
11/14/2016 9:29:15 PM,101
11/14/2016 9:29:30 PM,101
11/14/2016 9:29:45 PM,101
11/14/2016 9:29:50 PM,98
11/14/2016 9:29:55 PM,95
11/14/2016 9:30:10 PM,94
11/14/2016 9:30:25 PM,94
11/14/2016 9:30:35 PM,91
11/14/2016 9:30:50 PM,91
11/14/2016 9:31:00 PM,90
11/14/2016 9:31:05 PM,89
11/14/2016 9:31:20 PM,89
11/14/2016 9:31:35 PM,89
11/14/2016 9:31:45 PM,89
11/14/2016 9:31:50 PM,89
11/14/2016 9:31:55 PM,87
11/14/2016 9:32:10 PM,87
11/14/2016 9:32:15 PM,86
11/14/2016 9:32:20 PM,86
11/14/2016 9:32:35 PM,86
11/14/2016 9:32:40 PM,85
11/14/2016 9:32:50 PM,88
11/14/2016 9:33:05 PM,88
11/14/2016 9:33:20 PM,89
11/14/2016 9:33:25 PM,91
11/14/2016 9:33:40 PM,91
11/14/2016 9:33:55 PM,91
11/14/2016 9:34:10 PM,91
11/14/2016 9:34:25 PM,91
11/14/2016 9:34:40 PM,91
11/14/2016 9:34:55 PM,91
11/14/2016 9:35:00 PM,91
11/14/2016 9:35:10 PM,91
11/14/2016 9:35:25 PM,91
11/14/2016 9:35:40 PM,91
11/14/2016 9:35:55 PM,91
11/14/2016 9:36:00 PM,91
11/14/2016 9:36:15 PM,91
11/14/2016 9:36:30 PM,91
11/14/2016 9:36:35 PM,90
11/14/2016 9:36:50 PM,90
11/14/2016 9:36:55 PM,91
11/14/2016 9:37:10 PM,91
11/14/2016 9:37:25 PM,91
11/14/2016 9:37:40 PM,91
11/14/2016 9:37:45 PM,91
