time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
378671662537.0,,,nan,,,
378671662793,10,0.0,2.0,0.0,70,0
378671663049,10,0.0,,0.0,70,0
378671663305,10,0.0,,0.0,70,0
378671663561,10,0.0,,0.23828125,70,0
378671663817,10,0.0,,0.1953125,70,0
378671664073,10,0.0,,0.13671875,70,0
378671664329,11,7941.4399999999996,,0.08984375,70,0
378671664585,13,7941.4399999999996,,0.11328125,70,0
378671664841,15,7941.4399999999996,,0.06640625,70,0
378671665097,15,7941.4399999999996,,0.09375,70,0
378671665353,15,9428.7999999999993,,0.12109375,95,0
378671665609,15,9428.7999999999993,,0.078125,95,0
378671665865,16,10995.84,,0.0546875,96,0
378671666121,17,10995.84,,0.05078125,96,0
378671666377,19,10995.84,,0.02734375,96,0
378671666633,19,11712.959999999999,,0.02734375,90,0
378671666889,19,11712.959999999999,,0.01953125,89,0
378671667145,19,11712.959999999999,,0.09765625,88,0
378671667401,19,11712.959999999999,,0.02734375,87,0
378671667657,19,11712.959999999999,,0.03125,86,0
378671667913,18,11620.0,,0.05078125,86,0
378671668169,18,11620.0,,0.15625,85,0
378671668425,17,13280.0,,0.0390625,84,0
378671668681,18,13226.879999999999,,0.02734375,83,0
378671668937,19,13226.879999999999,,0.03125,81,0
378671669193,20,13226.879999999999,,0.0234375,79,0
378671669449,20,13226.879999999999,,0.03125,78,0
378671669705,20,15192.32,,0.02734375,78,0
378671669961,20,15192.32,,0.015625,79,0
378671670217,21,15989.119999999999,,0.015625,80,0
378671670473,22,15524.32,,0.01953125,80,0
378671670729,23,15524.32,,0.015625,80,0
378671670985,23,15524.32,,0.015625,80,0
378671671241,23,15909.439999999999,,0.0,80,0
378671671497,23,15909.439999999999,,0.015625,81,0
378671671753,24,15909.439999999999,,0.015625,83,0
378671672009,24,14780.639999999999,,0.015625,84,0
378671672265,25,14780.639999999999,,0.015625,84,0
378671672521,25,12722.24,,0.0,85,0
378671672777,25,12722.24,,0.015625,87,0
378671673033,26,12722.24,,0.015625,87,0
378671673289,26,12722.24,,0.015625,87,0
378671673545,26,12722.24,,0.015625,86,0
378671673801,25,11394.24,,0.0234375,86,0
378671674057,23,11394.24,,0.01953125,85,0
378671674313,22,10690.4,,0.015625,85,0
378671674569,22,10690.4,,0.01953125,85,0
378671674825,23,10690.4,,0.03125,86,0
378671675081,23,10690.4,,0.078125,87,0
378671675337,23,9110.0799999999999,,0.0546875,88,0
378671675593,22,9136.6399999999994,,0.04296875,90,0
378671675849,21,9136.6399999999994,,0.08984375,90,0
378671676105,21,9388.9599999999991,,0.16796875,90,0
378671676361,22,11739.519999999999,,0.171875,92,0
378671676617,24,15232.16,,0.1875,92,0
378671676873,26,15232.16,,0.11328125,92,0
378671677129,28,24421.919999999998,,0.3984375,92,0
378671677385,30,24421.919999999998,,0.328125,93,0
378671677641,32,24873.439999999999,,0.12890625,96,0
378671677897,33,24873.439999999999,,0.09375,97,0
378671678153,33,24873.439999999999,,0.04296875,98,0
378671678409,33,30650.239999999998,,0.046875,99,0
378671678665,34,30650.239999999998,,0.046875,99,0
378671678921,35,30650.239999999998,,0.02734375,98,0
378671679177,35,30650.239999999998,,0.0,97,0
378671679433,35,30650.239999999998,,0.0,95,0
378671679689,35,30650.239999999998,,0.0,94,0
378671679945,33,21978.399999999998,,0.015625,93,0
378671680201,29,21978.399999999998,,0.01953125,93,0
378671680457,25,21978.399999999998,,0.01953125,93,0
378671680713,24,21978.399999999998,,0.015625,93,0
378671680969,24,21978.399999999998,,0.0,92,0
378671681225,24,21978.399999999998,,0.0,91,0
378671681481,25,21978.399999999998,,0.0,89,0
378671681737,25,21978.399999999998,,0.0,88,0
378671681993,25,21978.399999999998,,0.0,86,0
