time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
378525646152.0,,,nan,,,
378525646408,10,0.0,2.0,0.0,70,0
378525646664,10,0.0,,0.0,70,0
378525646920,10,0.0,,0.0,70,0
378525647176,10,0.0,,0.1484375,70,0
378525647432,10,0.0,,0.16015625,70,0
378525647688,10,0.0,,0.05859375,70,0
378525647944,12,13519.039999999999,,0.05078125,70,0
378525648200,16,13519.039999999999,,0.06640625,70,0
378525648456,20,13519.039999999999,,0.12109375,134,0
378525648712,21,13452.639999999999,,0.14453125,123,0
378525648968,21,14395.519999999999,,0.03125,116,0
378525649224,23,14395.519999999999,,0.24609375,110,0
378525649480,24,20159.039999999997,,0.13671875,106,0
378525649736,26,20159.039999999997,,0.1484375,101,0
378525649992,27,17967.84,,0.046875,99,0
378525650248,27,17967.84,,0.02734375,91,0
378525650504,27,17967.84,,0.01953125,85,0
378525650760,26,16360.959999999999,,0.05078125,86,0
378525651016,26,16360.959999999999,,0.04296875,83,0
378525651272,26,16360.959999999999,,0.1640625,77,0
378525651528,26,22443.200000000001,,0.09375,78,0
378525651784,25,22443.200000000001,,0.0390625,80,0
378525652040,25,22443.200000000001,,0.10546875,81,0
378525652296,24,22390.079999999998,,0.02734375,80,0
378525652552,24,22390.079999999998,,0.03515625,80,0
378525652808,25,21619.84,,0.16015625,80,0
378525653064,25,21619.84,,0.0390625,80,0
378525653320,25,21619.84,,0.0546875,80,0
378525653576,25,21619.84,,0.015625,80,0
378525653832,24,18658.399999999998,,0.01953125,81,0
378525654088,23,18658.399999999998,,0.015625,81,0
378525654344,22,18658.399999999998,,0.0,81,0
378525654600,22,18658.399999999998,,0.015625,80,0
378525654856,22,18658.399999999998,,0.015625,79,0
378525655112,22,18658.399999999998,,0.015625,77,0
378525655368,21,13917.439999999999,,0.015625,75,0
378525655624,20,13917.439999999999,,0.015625,73,0
378525655880,18,13917.439999999999,,0.015625,72,0
378525656136,18,14647.84,,0.01953125,72,0
378525656392,17,14647.84,,0.02734375,72,0
378525656648,17,14647.84,,0.11328125,72,0
378525656904,17,14900.16,,0.03515625,71,0
378525657160,17,14900.16,,0.015625,70,0
378525657416,17,10318.559999999999,,0.0,69,0
378525657672,17,10318.559999999999,,0.0,68,0
378525657928,18,10318.559999999999,,0.0,67,0
378525658184,18,10318.559999999999,,0.015625,66,0
378525658440,18,9880.3199999999997,,0.0,65,0
378525658696,17,9880.3199999999997,,0.015625,65,0
378525658952,17,9880.3199999999997,,0.015625,65,0
378525659208,17,9787.3599999999988,,0.015625,65,0
378525659464,17,9787.3599999999988,,0.0,65,0
378525659720,17,9787.3599999999988,,0.0,65,0
378525659976,17,10079.519999999999,,0.015625,64,0
378525660232,17,10079.519999999999,,0.015625,64,0
378525660488,17,10079.519999999999,,0.015625,63,0
378525660744,18,10079.519999999999,,0.015625,63,0
378525661000,18,10663.84,,0.0,63,0
378525661256,18,10663.84,,0.0,62,0
378525661512,18,10663.84,,0.0,61,0
378525661768,19,10092.799999999999,,0.0,61,0
378525662024,19,10092.799999999999,,0.0,61,0
378525662280,19,10092.799999999999,,0.015625,61,0
378525662536,19,9774.0799999999999,,0.0,61,0
378525662792,19,9774.0799999999999,,0.0,61,0
378525663048,19,9774.0799999999999,,0.015625,61,0
378525663304,18,9774.0799999999999,,0.015625,61,0
378525663560,18,9774.0799999999999,,0.015625,62,0
378525663816,18,8831.1999999999989,,0.01953125,62,0
378525664072,18,8831.1999999999989,,0.015625,62,0
378525664328,17,8831.1999999999989,,0.1640625,63,0
378525664584,17,8831.1999999999989,,0.14453125,63,0
378525664840,17,10624.0,,0.203125,64,0
378525665096,17,12031.68,,0.15625,64,0
378525665352,17,12031.68,,0.30859375,66,0
378525665608,18,15165.759999999998,,0.1015625,68,0
378525665864,19,15165.759999999998,,0.0390625,69,0
378525666120,19,15165.759999999998,,0.015625,70,0
378525666376,19,15165.759999999998,,0.015625,70,0
378525666632,19,20132.48,,0.015625,70,0
378525666888,19,20132.48,,0.015625,72,0
378525667144,19,20132.48,,0.015625,73,0
378525667400,20,20132.48,,0.03515625,74,0
378525667656,20,20132.48,,0.015625,75,0
378525667912,20,20132.48,,0.0,76,0
378525668168,19,20132.48,,0.0,76,0
378525668424,19,20132.48,,0.0,75,0
378525668680,19,20132.48,,0.0,74,0
378525668936,20,20132.48,,0.0,74,0
378525669192,19,15218.879999999999,,0.0,74,0
378525669448,17,15218.879999999999,,0.0,73,0
378525669704,15,15218.879999999999,,0.0,72,0
378525669960,14,15218.879999999999,,0.0,71,0
378525670216,14,15258.719999999999,,0.015625,70,0
378525670472,14,15258.719999999999,,0.015625,69,0
378525670728,14,15258.719999999999,,0.015625,68,0
378525670984,14,16002.4,,0.015625,67,0
378525671240,14,16002.4,,0.0,66,0
378525671496,15,16002.4,,0.0,65,0
378525671752,15,16002.4,,0.0,64,0
378525672008,15,16002.4,,0.0,64,0
378525672264,15,16002.4,,0.015625,64,0
378525672520,15,16002.4,,0.0,64,0
378525672776,15,16002.4,,0.0,64,0
378525673032,14,12562.879999999999,,0.0,63,0
378525673288,14,12562.879999999999,,0.0,62,0
378525673544,13,12562.879999999999,,0.0,61,0
378525673800,13,11341.119999999999,,0.0,60,0
378525674056,13,11341.119999999999,,0.0,59,0
378525674312,12,9362.3999999999996,,0.0,59,0
378525674568,12,9362.3999999999996,,0.0,58,0
378525674824,12,9362.3999999999996,,0.0,58,0
378525675080,12,9362.3999999999996,,0.0,57,0
378525675336,12,5936.1599999999999,,0.0,57,0
378525675592,12,5936.1599999999999,,0.0,56,0
378525675848,12,5936.1599999999999,,0.046875,56,0
378525676104,12,5936.1599999999999,,0.125,56,0
378525676360,12,5936.1599999999999,,0.08203125,56,0
378525676616,12,5936.1599999999999,,0.03515625,57,0
378525676872,13,7237.5999999999995,,0.0,57,0
378525677128,13,7237.5999999999995,,0.0,57,0
378525677384,14,7237.5999999999995,,0.0,58,0
378525677640,14,7237.5999999999995,,0.015625,59,0
378525677896,14,6732.96,,0.0,59,0
378525678152,14,6732.96,,0.0,59,0
378525678408,14,6732.96,,0.0,60,0
378525678664,14,6732.96,,0.0,60,0
378525678920,14,6215.04,,0.0,61,0
378525679176,14,6215.04,,0.0,61,0
378525679432,14,6215.04,,0.0,62,0
378525679688,13,6215.04,,0.0,62,0
378525679944,14,7383.6799999999994,,0.0,61,0
378525680200,15,7383.6799999999994,,0.0,61,0
378525680456,15,7383.6799999999994,,0.0,61,0
378525680712,15,7662.5599999999995,,0.0,60,0
